,date,category,item_code,price,amount
0,2019-01-01,beauty,200197,39800,222836000
1,2019-01-01,cloth,200896,299000,115831000
2,2019-01-01,cloth,201072,39900,12033000
3,2019-01-01,cloth,201079,39900,20663000
4,2019-01-01,cloth,201220,119000,51795000
5,2019-01-01,cloth,201226,119000,68135000
6,2019-01-01,cloth,202044,499000,154715000
7,2019-01-01,cloth,202377,59900,99736000
8,2019-01-01,cloth,202395,79900,259678000
9,2019-01-01,cloth,202404,79000,90973000
10,2019-01-01,food,201350,39900,246455000
11,2019-01-01,food,201479,49900,176244000
12,2019-01-01,food,201497,60900,86177000
13,2019-01-01,food,202512,61000,83893000
14,2019-01-01,home_appliance,200465,489000,123876000
15,2019-01-01,home_appliance,200533,439000,160698000
16,2019-01-01,kitchen,200236,60900,192141000
17,2019-01-01,underwear,200970,109000,111546000
18,2019-01-01,underwear,200974,59000,47878000
19,2019-01-01,underwear,201892,119000,190579000
20,2019-01-01,underwear,201999,69900,74360000
21,2019-01-01,underwear,202108,89900,122537000
22,2019-01-02,cloth,200896,299000,96155000
23,2019-01-02,cloth,201225,69900,34528000
24,2019-01-02,cloth,201231,69900,25577000
25,2019-01-02,cloth,201409,39900,74098000
26,2019-01-02,daily_supplies,200800,29800,35241000
27,2019-01-02,food,200864,30900,155211000
28,2019-01-02,food,201483,59900,128485000
29,2019-01-02,food,202112,30900,27619000
30,2019-01-02,food,202113,30900,47845000
31,2019-01-02,food,202365,59900,130196000
32,2019-01-02,food,202491,32900,112947000
33,2019-01-02,health,201002,69000,70951000
34,2019-01-02,home_appliance,200432,1440000,10524000
35,2019-01-02,home_appliance,200441,2130000,30986000
36,2019-01-02,home_appliance,200451,2990000,14523000
37,2019-01-02,home_appliance,200487,1549000,47841000
38,2019-01-02,home_appliance,200499,1300000,12659000
39,2019-01-02,home_appliance,200508,1900000,82649000
40,2019-01-02,home_appliance,200518,2700000,0
41,2019-01-02,home_appliance,200554,1409000,61526000
42,2019-01-02,kitchen,200819,89800,101053000
43,2019-01-02,kitchen,202093,168000,40950000
44,2019-01-02,kitchen,202095,158000,10137000
45,2019-01-02,kitchen,202098,158000,78940000
46,2019-01-02,kitchen,202100,148000,24550000
47,2019-01-02,kitchen,202229,218000,18480000
48,2019-01-02,kitchen,202230,238000,53370000
49,2019-01-02,kitchen,202237,208000,11583000
50,2019-01-02,kitchen,202238,228000,41430000
51,2019-01-02,underwear,200652,69900,43858000
52,2019-01-02,underwear,200970,109000,85256000
53,2019-01-02,underwear,200974,59000,67533000
54,2019-01-02,underwear,201862,89000,6026000
55,2019-01-02,underwear,201880,89000,9321000
56,2019-01-02,underwear,201901,89000,112405000
57,2019-01-02,underwear,202004,79900,106570000
58,2019-01-03,beauty,200197,39800,116724000
59,2019-01-03,beauty,202261,79000,76661000
60,2019-01-03,cloth,201072,39900,17810000
61,2019-01-03,cloth,201079,39900,34570000
62,2019-01-03,cloth,201225,69900,39733000
63,2019-01-03,cloth,201231,69900,39929000
64,2019-01-03,cloth,202404,79000,84789000
65,2019-01-03,daily_supplies,201514,189000,232596000
66,2019-01-03,food,201497,60900,76649000
67,2019-01-03,food,201788,39900,82616000
68,2019-01-03,food,202074,40900,148904000
69,2019-01-03,food,202444,59900,134221000
70,2019-01-03,health,201002,69000,88529000
71,2019-01-03,home_appliance,200432,1440000,31423000
72,2019-01-03,home_appliance,200441,2130000,46380000
73,2019-01-03,home_appliance,200451,2990000,7299000
74,2019-01-03,home_appliance,200499,1300000,25217000
